user,from,index,word_t,word_t1,Vision,Motor,Socialness,Emotion_abs+1,Time,Space,score_t,score_t1
59c10c7e5364260001dc47e6,light_heavy,1,light,torch,5.0923258406132526,2.702747048496864,1.4540709484546865,1.7395367053007464,-0.7576053946269332,0.7635936083131116,31.013332969049333,15.04143228488986
59c10c7e5364260001dc47e6,light_heavy,2,torch,dark,-5.608211578336327,-3.9959706295769744,-2.2085507202983483,-0.5464612498360095,0.5151670675984406,-0.36202193154811213,15.04143228488986,24.44013262454556
59c10c7e5364260001dc47e6,light_heavy,3,dark,black,1.6786105619784615,0.823242515822397,3.1800009060017698,-0.39665870714114737,-0.7563207789656488,0.6695628156676035,24.44013262454556,16.627929128056838
59c10c7e5364260001dc47e6,light_heavy,4,black,warm,-2.0069441308488014,0.33518153688871144,-2.599828007724928,1.2545934508806966,1.3657400567275044,-1.325391272640747,16.627929128056838,19.284340186315717
59c10c7e5364260001dc47e6,light_heavy,5,warm,bright,-0.20911882917150898,-1.112979496606257,-0.44933009507816135,0.024305913200829643,-0.6014556962811581,-0.8596907983251783,19.284340186315717,10.078724337212076
59c10c7e5364260001dc47e6,light_heavy,6,bright,heavy,-1.2710168871776109,0.9007889200467554,1.0784044406478268,0.052133029696044275,-0.5158600618503562,1.436435939955078,10.078724337212076,100.0
59d949cf8fd07a000184247e,light_heavy,1,light,light,0.0,0.0,0.0,0.0,0.0,0.0,31.013332969049333,31.013332969049333
59d949cf8fd07a000184247e,light_heavy,2,light,dark,-0.5158857377230739,-1.2932235810801105,-0.7544797718436618,1.193075455464737,-0.24243832702849266,0.4015716767649995,31.013332969049333,24.44013262454556
59d949cf8fd07a000184247e,light_heavy,3,dark,sun,3.99599043312856,2.1420286012487812,1.40670674974045,-0.7715409214883251,1.6218215563276206,1.52763528780533,24.44013262454556,9.394199292250915
59d949cf8fd07a000184247e,light_heavy,4,sun,bright,-4.533442831170409,-2.0965840451439295,-1.2758639465417696,1.653781578428704,-1.613857974846923,-3.043154543103652,9.394199292250915,10.078724337212076
59d949cf8fd07a000184247e,light_heavy,5,bright,lamp,7.346675376154306,3.4277062448717164,-0.5627965262576549,-2.131787061259142,-0.3618163604864477,2.43248340610377,10.078724337212076,10.68529017749547
59d949cf8fd07a000184247e,light_heavy,6,lamp,color,-6.292649438747112,-4.314182271152816,2.4693318280720016,-0.26342558331129506,0.0006433704526547235,-1.2847141525848635,10.68529017749547,4.4690242959806215
59d949cf8fd07a000184247e,light_heavy,7,color,day,-0.8430821942058981,1.8820724174119385,0.2890498766506209,0.5155214210438941,5.187637231460095,0.05834263526635963,4.4690242959806215,19.060181855594934
