user,from,index,word_t,word_t1,Vision,Motor,Socialness,Emotion_abs+1,Time,Space
5953e5633d663c00011d235d,chair_president,1,chair,table,0.7772912422818985,0.36480039030286227,-4.07913980822009,-0.6175289686635665,0.923823752551699,2.14206879411165
5953e5633d663c00011d235d,chair_president,2,table,sofa,2.7945254296581536,1.703652430594246,0.13425640958660967,0.49333867911228313,-0.4641189023119603,0.6263647919413087
5953e5633d663c00011d235d,chair_president,3,sofa,stool,0.526849396826047,1.018518677841893,-1.306718522590861,-0.3499959906697556,-0.7618056891342349,-1.1967664029337444
5953e5633d663c00011d235d,chair_president,4,stool,seat,-5.199965772057757,-3.8025810492866,3.8815296201817757,0.20786312785828165,0.15129059109089843,1.4684836892747182
5953e5633d663c00011d235d,chair_president,5,seat,bench,1.7349053355741824,1.05409678735879,-1.334189524890336,0.9349016067197133,0.6076836650835864,-1.9748526817401637
5953e5633d663c00011d235d,chair_president,6,bench,desk,0.759179642920301,0.07856610125935548,-0.49456614684459366,-1.7472000604797722,0.23905872709853204,0.618651811409618
5953e5633d663c00011d235d,chair_president,7,desk,classroom,-2.2642749516003096,-1.4100181286815046,3.0108070755603022,-0.048006499785612916,0.7434815608587784,0.8917931048048233
5953e5633d663c00011d235d,chair_president,8,classroom,office,-0.28124925544633306,-0.6887966624867847,-0.006059585135346879,0.38461795965142864,-0.8917953704163166,-0.27066544420991256
5953e5633d663c00011d235d,chair_president,9,office,room,1.5380138395648626,0.9535158451209884,-1.9556635022213467,0.19901619584792285,0.04681685695754512,2.822378090516306
5953e5633d663c00011d235d,chair_president,10,room,computer,-0.9720208193943161,-0.3191706908831773,-1.5596786302321917,0.43194189338801725,0.5271163113492743,-5.719308006228114
5953e5633d663c00011d235d,chair_president,11,computer,bed,2.0296528757935,1.9408861162401767,0.36051981625134344,0.9525823073314956,0.09196562190428237,3.131994372373968
5953e5633d663c00011d235d,chair_president,12,bed,kitchen,0.40279249858216026,-0.6133224463287958,1.0878093994200788,-1.2336667090917133,-0.8196452166149201,1.2126389551150059
5953e5633d663c00011d235d,chair_president,13,kitchen,lounge,-0.3611774013673976,0.47791522470392955,0.40143292828316923,0.3828877399797309,-0.11683801495531887,1.5038636334922462
5953e5633d663c00011d235d,chair_president,14,lounge,study,-5.33862972667003,-2.6703085527715733,0.6744189870885657,-0.5640590362802043,1.2390215500657515,-5.841292013863758
5953e5633d663c00011d235d,chair_president,15,study,drawers,5.981291251936154,3.067625199639838,-3.2693420920508336,0.23313654251190818,-0.955540412521692,2.7419748209462105
5953e5633d663c00011d235d,chair_president,16,drawers,couch,0.7080608639095445,0.48654901886720214,0.2006636486244786,0.2671498288493094,0.16208156262310291,0.4079004337347971
5953e5633d663c00011d235d,chair_president,17,couch,leader,-5.384484002724412,-3.201468301614873,8.259377070112036,1.7201049825184223,-0.8140488448574714,-4.488906230767269
5953e5633d663c00011d235d,chair_president,18,leader,manager,0.2398842985119365,-0.17394592837389045,-1.3158281290710772,-1.505804790985531,0.5467173782092853,1.1537562150699576
